id,dir_genre1,dir_genre2,dir_genre3,actor1_genre1,actor1_genre2,actor1_genre3,actor2_genre1,actor2_genre2,actor2_genre3
25682,19,19,19,19,19,19,19,19,19
379314,19,19,19,6,18,8,19,19,19
438147,19,19,19,19,19,19,3,6,10
218388,6,1,3,3,6,4,6,13,14
144954,11,3,13,16,6,9,3,18,8
87167,3,6,18,6,9,14,6,18,8
151490,5,18,8,19,19,19,19,19,19
354299,19,19,19,19,19,19,19,19,19
2768,6,16,4,6,16,14,6,16,3
36069,6,16,13,3,6,14,3,6,16
19042,19,19,19,14,3,6,0,6,18
143631,6,9,14,12,5,18,19,19,19
167262,6,18,13,0,16,15,6,16,14
270050,9,3,6,2,14,3,19,19,19
197788,19,19,19,6,13,11,6,16,14
280187,19,19,19,6,0,16,19,19,19
270210,4,11,18,16,0,6,6,9,11
168171,3,12,6,19,19,19,3,18,8
24959,2,8,11,18,8,1,19,19,19
359937,19,19,19,19,19,19,19,19,19
202262,19,19,19,19,19,19,0,8,1
240584,0,1,18,1,0,6,18,16,3
22135,1,18,8,16,4,18,18,8,1
409746,19,19,19,19,19,19,19,19,19
367751,19,19,19,19,19,19,19,19,19
257237,18,8,1,19,19,19,19,19,19
86270,6,3,4,3,6,18,3,18,8
137622,5,18,8,19,19,19,19,19,19
245305,18,15,4,18,1,0,4,6,18
34835,5,18,8,19,19,19,19,19,19
121141,18,8,1,19,19,19,19,19,19
269728,3,18,8,0,14,11,6,7,3
69767,0,1,15,3,0,15,3,0,15
65345,14,6,18,19,19,19,14,6,18
158993,5,6,18,19,19,19,19,19,19
33666,3,2,14,14,3,12,3,18,1
317993,19,19,19,19,19,19,19,19,19
80161,6,7,3,16,14,13,19,19,19
49279,8,3,11,8,3,11,19,19,19
9299,6,16,1,9,13,11,14,6,16
239,3,14,6,14,3,6,6,0,14
400820,3,13,4,0,16,3,19,19,19
318470,4,16,0,2,18,8,1,9,11
313676,18,8,1,14,6,8,3,11,18
371560,19,19,19,19,19,19,19,19,19
36226,6,4,3,6,17,1,19,19,19
125720,19,19,19,19,19,19,19,19,19
249172,5,12,6,19,19,19,19,19,19
409632,19,19,19,0,16,6,19,19,19
257614,5,0,14,19,19,19,3,6,18
119193,6,3,4,16,1,14,14,6,18
318001,6,17,3,6,1,14,4,6,3
104253,6,4,11,19,19,19,19,19,19
397873,19,19,19,19,19,19,0,6,16
137528,19,19,19,19,19,19,19,19,19
235917,2,7,3,2,3,7,2,3,7
